,lon,lat,z1p0,z2p5,sigma,vs30,v22p12,v22p11,v22p4,v22p2,v21p6,v21p1,v20p9,v20p6,v20p5,v20p4
PTHS,174.8719,-36.9756,0.065,1.025,0.5,455.0,False,False,False,False,False,False,True,True,True,True
SMTC,172.6139,-43.4675,0.695,3.375,0.3,208.225403686593,False,False,False,False,True,True,True,True,True,True
HMCS,170.964,-42.7169,0.075,2.225,0.5,455.00000000018,False,False,False,False,True,True,True,True,True,True
LPOC,172.7148,-43.6084,0.025,1.325,0.3,250.239974000385,False,False,False,False,True,True,True,True,True,True
GLWS,172.511,-42.5942,0.065,0.325,0.5,500.000000262339,False,True,True,False,True,True,True,True,True,True
FTPS,175.3274,-41.1187,0.085,1.275,0.5,499.99999999345,True,True,True,False,False,True,True,True,True,True
ARKS,174.9441,-41.2421,0.045,0.275,0.3,232.123982212001,True,True,True,False,False,True,True,True,True,True
ASHS,172.5959,-43.2744,1.085,3.325,0.3,286.222091684563,False,False,True,False,True,True,True,True,True,True
DFHS,172.1022,-43.4897,0.495,1.225,0.3,512.902560491857,False,False,False,False,True,True,True,True,True,True
FKPS,174.7788,-41.2879,0.055,0.325,0.3,263.754845275851,True,True,True,False,False,True,True,True,True,True
ADCS,171.7476,-43.9024,1.135,2.175,0.3,430.439939780386,False,False,False,False,True,True,False,True,False,True
FAHS,175.573,-40.2135,0.065,0.775,0.5,335.279503498908,True,True,False,False,False,True,True,True,True,True
HVSC,172.7094,-43.5798,0.005,1.525,0.3,351.623960642204,False,False,False,False,True,True,True,True,True,True
DVHS,176.1014,-40.2017,0.065,0.275,0.5,500.000063250293,True,True,False,False,False,False,True,True,True,True
HIBS,175.0359,-41.1399,0.155,0.325,0.3,307.157591071466,True,True,True,False,False,True,True,True,True,True
QCCS,174.0231,-41.2796,0.055,0.325,0.5,246.613838397414,True,True,True,False,True,True,True,True,True,True
WVFS,173.3509,-41.6202,0.205,0.225,0.3,500.000000000187,True,True,True,False,True,True,True,True,True,True
TSFS,172.8211,-40.8494,0.045,0.325,0.3,455.000002813947,True,True,True,False,True,True,True,True,True,True
SOCS,174.9159,-41.2043,0.145,0.325,0.3,294.104070732343,True,True,True,False,False,True,True,True,True,True
MGCS,173.9444,-41.5077,0.615,1.125,0.3,455.000000000004,True,True,True,False,True,True,True,True,True,True
PFAS,174.8461,-41.1385,0.065,0.325,0.3,455.076027092884,True,True,True,False,False,True,True,True,True,True
POLS,174.8391,-41.1314,0.065,0.325,0.3,214.878961141779,True,True,True,False,False,True,True,True,True,True
LHBS,174.8923,-41.1966,0.045,0.325,0.5,471.519190557363,True,True,True,False,False,True,True,True,True,True
TMDS,175.1554,-41.0781,0.055,0.325,0.5,454.999976550901,True,True,True,False,False,True,True,True,True,True
LHES,174.9033,-41.2117,0.175,0.325,0.3,268.957628366845,True,True,True,False,False,True,True,True,True,True
LHRS,174.8932,-41.2047,0.035,0.325,0.5,476.223528501072,True,True,True,False,False,True,True,True,True,True
TFSS,174.7831,-41.2754,0.245,0.325,0.3,274.835228477853,True,True,True,False,False,True,True,True,True,True
OTKS,175.1438,-40.7549,0.065,0.275,0.5,240.000000000036,True,True,True,False,False,True,True,True,True,True
HOCS,175.2794,-40.6216,0.065,0.275,0.5,258.659773057972,True,True,True,False,False,True,True,True,True,True
SLRC,172.3175,-43.6751,0.305,1.825,0.3,375.605886204152,False,False,False,False,True,True,True,True,True,True
TMBS,170.1957,-46.0718,0.075,0.325,0.5,335.279503172484,False,False,True,True,False,False,True,True,True,True
DKHS,170.4929,-45.9022,0.075,0.325,0.3,194.586866712924,False,False,True,True,False,False,True,True,False,True
HBHS,175.2951,-37.7856,0.645,0.975,0.3,500.000135275402,False,False,False,False,False,False,True,True,True,True
SKFS,170.5097,-45.8986,0.075,0.325,0.3,142.655043730108,False,False,True,True,False,False,True,True,False,True
WNHS,174.7755,-41.3008,0.045,0.325,0.5,560.167245161758,True,True,True,False,False,True,True,True,True,True
TOTS,175.0854,-41.1049,0.055,0.325,0.3,381.000027520448,True,True,True,False,False,True,True,True,True,True
EBPS,174.9002,-41.2894,0.055,0.275,0.3,432.861380418001,True,True,True,False,False,True,True,True,True,True
HPSC,172.7022,-43.5016,0.645,2.225,0.3,192.892370330199,False,False,False,False,True,True,True,True,True,True
TMHS,175.5465,-37.1397,0.625,1.225,0.3,240.000000000001,False,False,False,False,False,False,True,True,True,True
DSZ,171.8046,-41.745,0.065,0.375,0.5,451.321788197532,True,True,True,False,True,True,True,True,True,True
MSZ,167.9264,-44.6733,0.065,0.325,0.5,533.851132868534,False,False,True,True,False,False,True,True,True,True
MWDS,175.7526,-39.4069,0.055,0.325,0.5,690.974348966211,True,True,False,False,False,False,True,True,True,True
KNZ,177.6737,-39.0218,0.065,4.725,0.5,810.99595529672,False,False,False,False,False,False,True,True,True,True
CUBS,174.7744,-41.2955,0.065,0.325,0.3,285.77926958722,True,True,True,False,False,True,True,True,True,True
HDWS,169.0441,-43.883,0.075,0.325,0.5,240.000000013542,False,False,True,True,False,False,False,True,False,True
SYZ,169.1388,-46.5369,0.075,0.575,0.5,299.992990896446,False,False,True,True,False,False,True,True,True,True
BWHS,172.6822,-43.4804,0.715,2.625,0.3,208.84453479272,False,False,True,False,True,True,True,True,True,True
BENS,170.193,-44.563,0.055,0.325,0.5,418.00004852191,False,False,True,True,False,False,False,True,False,True
ODZ,170.6446,-45.044,0.045,0.775,0.5,883.358946235561,False,False,True,True,False,False,False,True,False,True
TKAS,170.4606,-44.0133,0.265,0.325,0.3,418.000000000001,False,False,True,True,True,True,False,True,False,True
GORS,168.9417,-46.1027,0.075,0.775,0.5,335.279503497185,False,False,True,True,False,False,True,True,True,True
NZAS,168.3784,-46.5868,0.065,0.375,0.5,472.749388885179,False,False,True,True,False,False,True,True,True,True
PKIS,170.1469,-44.191,0.325,0.325,0.3,453.000062734946,False,False,True,True,False,True,False,True,False,True
TUDS,177.1504,-38.807,0.055,1.375,0.5,455.00000336964,False,False,False,False,False,False,True,True,True,True
KILS,172.6406,-43.5269,0.595,2.425,0.3,180.224055178092,False,False,False,False,True,True,True,True,True,True
MRSS,172.5592,-43.5113,0.545,2.425,0.3,243.187312788387,False,False,False,False,True,True,True,True,True,True
KAFS,176.7093,-38.0835,0.075,0.325,0.5,265.418746172294,False,False,False,False,False,False,True,True,True,True
LPLS,169.4231,-43.7147,0.055,0.325,0.5,246.613837142332,False,False,True,True,False,True,False,True,False,True
WAKS,176.2517,-39.7727,0.065,1.275,0.5,246.613837142371,True,True,False,False,False,False,True,True,True,True
MWFS,176.6689,-37.8591,0.065,0.375,0.5,454.999987931273,False,False,False,False,False,False,True,True,True,True
DCZ,167.1535,-45.4647,0.035,0.425,0.5,1156.35312575838,False,False,True,True,False,False,True,True,True,True
EKS3,175.8224,-40.6005,0.065,0.325,0.5,500.000024117595,True,True,True,False,False,True,True,True,True,True
EKS1,175.991,-40.6713,0.055,0.625,0.5,455.000085479607,True,False,True,False,False,True,True,True,True,True
EKS2,175.8069,-40.7434,0.065,0.325,0.5,500.000031635247,True,True,True,False,False,True,True,True,True,True
PRKS,174.9341,-41.249,0.045,0.275,0.3,199.890073700377,True,True,True,False,False,True,True,True,True,True
HAZ,177.7826,-37.7561,0.045,0.275,0.5,358.317552408344,False,False,False,False,False,False,True,True,True,True
MANS,167.2781,-45.5212,0.045,0.675,0.5,691.071410563418,False,False,True,True,False,False,True,True,True,True
RCS1,173.6293,-41.5397,0.235,0.275,0.3,500.00000000009,True,True,True,False,True,True,True,True,True,True
RCBS,172.7327,-43.5579,0.125,1.725,0.3,441.407830692489,False,False,False,False,True,True,True,True,True,True
GMTS,171.2104,-42.4492,0.075,1.425,0.5,240.000000000231,False,False,True,False,True,True,True,True,True,True
RQGS,174.7812,-41.2965,0.065,0.325,0.3,255.18570853387,True,True,True,False,False,True,True,True,True,True
PYZ,166.6807,-46.1663,0.045,0.375,0.5,882.932748544321,False,False,True,True,False,False,True,True,True,True
RHBS,172.7569,-43.5714,0.045,1.675,0.3,653.028974815181,False,False,False,False,True,True,True,True,True,True
D14C,172.6247,-43.6325,0.125,1.475,0.3,729.060536484432,False,False,False,False,True,True,True,True,True,True
TACS,175.6928,-37.542,0.615,1.075,0.3,500.000000835871,False,False,False,False,False,False,True,True,True,True
MMCS,175.7698,-37.8159,0.295,0.775,0.3,500.000001369658,False,False,False,False,False,False,True,True,True,True
MTDS,175.7455,-38.3521,0.045,1.875,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
EYRS,172.3554,-43.4214,0.845,1.725,0.3,500.009955492667,False,False,False,False,True,True,True,True,True,True
CHHC,172.6275,-43.5359,0.515,2.175,0.3,190.873922386271,False,False,False,False,True,True,True,True,True,True
D09C,172.6326,-43.5323,0.555,2.275,0.3,178.759976561322,False,False,False,False,True,True,True,True,True,True
EAZ,169.3083,-45.2311,0.045,0.275,0.5,882.789642341542,False,False,True,True,False,False,True,True,True,True
OPZ,170.5978,-45.8844,0.045,0.375,0.5,1154.23926631367,False,False,True,True,False,False,True,True,False,True
WKZ,169.0176,-44.827,0.035,0.275,0.5,883.176270354558,False,False,True,True,False,False,True,True,False,True
FOZ,169.8155,-43.5321,0.055,0.325,0.5,883.51559027948,False,False,True,True,True,True,False,True,False,True
JCZ,168.7855,-44.0732,0.035,0.325,0.5,1156.60019276221,False,False,True,True,False,False,False,True,False,True
PXZ,176.8621,-40.0306,0.095,7.625,0.5,956.887604353398,True,True,False,False,False,False,True,True,True,True
KUZ,175.7209,-36.7452,0.045,0.325,0.5,811.556630345656,False,False,False,False,False,False,True,True,True,True
BFZ,176.2462,-40.6796,0.055,0.325,0.5,810.720874228057,True,True,False,False,False,True,True,True,True,True
TCW,174.2763,-41.2104,0.025,0.275,0.5,883.062671769769,True,True,True,False,True,True,True,True,True,True
CRLZ,172.6232,-43.5747,0.085,1.525,0.3,882.821690996587,False,False,False,False,True,True,True,True,True,True
DUWZ,173.9216,-40.8017,0.045,0.325,0.5,455.0,True,True,True,False,True,True,True,True,True,True
D15C,172.7256,-43.5847,0.065,1.875,0.3,809.7708061461,False,False,False,False,True,True,True,True,True,True
TRCS,171.2444,-44.4028,1.195,1.975,0.3,472.749474698772,False,False,True,True,True,True,False,True,False,True
SPFS,171.9289,-43.338,0.035,0.325,0.3,500.073121203649,False,False,False,False,True,True,True,True,True,True
BKZ,176.4925,-39.1657,0.065,1.475,0.5,811.093664653026,False,True,False,False,False,False,True,True,True,True
ICCS,168.3469,-46.4116,0.075,0.375,0.5,335.279503497185,False,False,True,True,False,False,True,True,True,True
D08C,172.6327,-43.5324,0.555,2.275,0.3,178.864913527864,False,False,False,False,True,True,True,True,True,True
D06C,172.6142,-43.5402,0.445,2.125,0.3,164.661194984481,False,False,False,False,True,True,True,True,True,True
WCZ,174.345,-35.9386,0.045,0.525,0.5,455.0,False,False,False,False,False,False,True,True,True,True
GRZ,175.4578,-36.2502,0.045,1.075,0.5,883.752388704489,False,False,False,False,False,False,True,True,True,True
ROPS,176.2545,-38.1362,0.095,2.475,0.5,499.999999999623,False,False,False,False,False,False,True,True,True,True
AVIS,170.357,-44.6552,0.055,0.325,0.3,500.0,False,False,True,True,False,False,False,True,False,True
OUZ,173.5961,-35.2197,0.055,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
D13C,172.6449,-43.6065,0.005,1.575,0.3,708.189921423012,False,False,False,False,True,True,True,True,True,True
D10C,172.6327,-43.5324,0.555,2.275,0.3,178.864913527864,False,False,False,False,True,True,True,True,True,True
D04C,172.6732,-43.512,0.625,2.325,0.3,184.580412751796,False,False,False,False,True,True,True,True,True,True
EDAS,176.8322,-37.9777,0.085,1.125,0.5,162.891757102482,False,False,False,False,False,False,True,True,True,True
DGNS,170.5139,-45.8626,0.065,0.325,0.3,236.538741271263,False,False,True,True,False,False,True,True,False,True
DCDS,170.5022,-45.8743,0.045,0.325,0.5,664.141070237618,False,False,True,True,False,False,True,True,False,True
NAMS,176.9189,-39.4884,0.115,6.625,0.3,227.959661159707,False,True,False,False,False,False,True,True,True,True
D07C,172.6757,-43.5173,0.585,2.225,0.3,182.752472313687,False,False,False,False,True,True,True,True,True,True
COLD,172.1026,-43.6005,0.615,1.625,0.3,490.794253462809,False,False,False,False,True,True,True,True,True,True
TLED,172.2013,-43.5958,0.505,1.525,0.3,499.921384911248,False,False,False,False,True,True,True,True,True,True
KVSD,172.2777,-43.5854,0.455,1.375,0.3,499.760818746333,False,False,False,False,True,True,True,True,True,True
SNZO,174.7042,-41.3087,0.035,0.275,0.5,459.234335830074,True,True,True,False,True,True,True,True,True,True
WVHS,174.63,-39.7571,0.075,1.225,0.5,335.279503669056,True,True,True,False,False,True,True,True,True,True
RUAS,177.0083,-38.1476,0.075,0.375,0.5,335.282416926959,False,False,False,False,False,False,True,True,True,True
BCOF,167.4694,-44.7949,0.035,1.225,0.5,690.974348966602,False,False,True,True,False,False,True,True,True,True
MCPS,170.0952,-43.7332,0.065,0.275,0.3,246.613837146339,False,False,True,True,True,True,False,True,False,True
PHFS,174.9045,-41.2526,0.045,0.075,0.5,440.657361153823,True,True,True,False,False,True,True,True,True,True
MSZS,167.9255,-44.673,0.075,0.325,0.5,511.684237198544,False,False,True,True,False,False,True,True,True,True
TA3S,176.7309,-37.928,0.045,0.425,0.5,690.97194367634,False,False,False,False,False,False,True,True,True,True
WICS,177.4147,-39.0356,0.095,8.325,0.3,197.958414111912,False,False,False,False,False,False,True,True,True,True
PWZ,176.862,-40.0297,0.095,7.575,0.5,957.199307708427,True,True,False,False,False,False,True,True,True,True
TA2S,176.6689,-37.8591,0.065,0.375,0.5,454.999987931273,False,False,False,False,False,False,True,True,True,True
TA1S,176.7575,-37.8888,0.065,0.375,0.5,246.613822599671,False,False,False,False,False,False,True,True,True,True
NMPS,175.2279,-41.5745,0.065,2.575,0.5,239.000000000068,True,True,True,False,False,True,True,True,True,True
THPS,175.8014,-39.6768,0.065,0.325,0.5,335.279503497194,True,True,False,False,False,False,True,True,True,True
SECF,166.8848,-45.2207,0.085,0.375,0.5,690.974348982463,False,False,True,True,False,False,True,True,True,True
JCWJ,168.6118,-43.9723,0.055,1.225,0.5,455.000597681492,False,False,True,True,False,False,False,True,False,True
DECF,166.9727,-45.2026,0.075,0.375,0.5,690.974349042916,False,False,True,True,False,False,True,True,True,True
AICS,171.6244,-42.7682,0.045,0.225,0.5,500.001018032319,False,False,True,False,True,True,True,True,True,True
CSBF,166.8693,-45.2931,0.055,0.375,0.5,690.97434934094,False,False,True,True,False,False,True,True,True,True
WVZS,170.7359,-43.0747,0.065,0.275,0.5,871.875756329281,False,False,False,False,True,True,True,True,True,True
CCPS,172.6323,-43.5322,0.555,2.275,0.3,178.725036502996,False,False,False,False,True,True,True,True,True,True
GPSS,174.9147,-41.2366,0.115,0.275,0.3,275.994443171433,True,True,True,False,False,True,True,True,True,True
RCS2,174.0764,-41.6722,0.695,1.975,0.3,240.0,True,False,True,False,True,True,True,True,True,True
WBHS,174.3169,-35.715,0.045,0.325,0.5,240.0,False,False,False,False,False,False,True,False,False,False
POTR,174.7746,-41.27,0.035,0.325,0.5,505.786381431629,True,True,True,False,False,True,True,True,True,True
APZ,167.9888,-46.8318,0.045,0.875,0.5,690.974348966211,False,False,True,True,False,False,True,True,True,True
BHW,174.8711,-41.4082,0.055,0.325,0.3,239.018871242758,True,True,True,False,True,True,True,True,True,True
COVZ,175.5424,-39.1999,0.055,0.675,0.5,690.974348966211,True,True,False,False,False,False,True,True,True,True
CRSZ,173.8154,-42.1446,0.055,2.325,0.5,455.000000000355,True,True,True,False,True,True,True,True,True,True
ETVZ,175.7106,-39.1357,0.035,1.475,0.5,690.974348966211,False,True,False,False,False,False,True,True,True,True
FWVZ,175.553,-39.2549,0.035,0.325,0.5,690.974348966211,True,True,False,False,False,False,True,True,True,True
GLOS,173.8218,-41.8573,0.055,1.125,0.5,455.0,True,True,True,False,True,True,True,True,True,True
HIZ,174.8557,-38.5129,0.045,0.475,0.5,455.0,False,True,False,False,False,False,True,True,True,True
KHEZ,174.0145,-39.2942,0.045,2.125,0.5,690.974348966075,True,True,False,False,False,True,True,True,True,True
LOKS,173.4824,-42.0116,0.055,2.025,0.5,455.000000000005,True,True,True,False,True,True,True,True,True,True
LPDS,172.7098,-43.6063,0.015,1.325,0.3,441.969568199903,False,False,False,False,True,True,True,True,True,True
MAVZ,175.5617,-39.2679,0.035,0.325,0.5,690.974348966211,True,True,False,False,False,False,True,True,True,True
MKAZ,175.1612,-37.1041,0.055,0.375,0.5,455.0,False,False,False,False,False,False,True,True,True,True
NTVZ,175.676,-39.0985,0.045,1.225,0.5,690.974348966211,False,True,False,False,False,False,True,True,True,True
OPRZ,176.5549,-37.8443,0.045,0.375,0.5,454.999999479938,False,False,False,False,False,False,True,True,True,True
OTVZ,175.6651,-39.1631,0.035,1.075,0.5,690.974348966211,False,True,False,False,False,False,True,True,True,True
PKGZ,178.0805,-37.8664,0.055,0.275,0.5,455.000001828632,False,False,False,False,False,False,True,True,True,True
RATZ,175.7722,-38.8665,0.045,1.525,0.5,690.974348966211,False,True,False,False,False,False,True,True,True,True
SDNS,174.1373,-41.6638,0.685,2.175,0.3,240.0,True,True,True,False,True,True,True,True,True,True
TENS,172.7902,-42.215,0.045,0.325,0.5,455.0,True,True,True,False,True,True,True,True,True,True
TMVZ,175.7041,-39.1156,0.045,1.275,0.5,690.974348966211,False,True,False,False,False,False,True,True,True,True
TON8,175.676,-39.0985,0.045,1.225,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
TRVZ,175.5478,-39.2988,0.035,0.325,0.5,690.974348966211,True,True,False,False,False,False,True,True,True,True
TUWZ,173.9429,-41.4294,0.035,0.325,0.5,690.974348968138,True,True,True,False,True,True,True,True,True,True
WHVZ,175.5886,-39.2825,0.045,1.225,0.5,690.974348966211,True,True,False,False,False,False,True,True,True,True
WIZ,177.1894,-37.5265,0.065,0.075,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
WMGZ,178.4149,-37.8191,0.065,7.275,0.5,455.000000199998,False,False,False,False,False,False,True,True,True,True
WPVZ,175.5459,-39.204,0.055,0.575,0.5,690.974348966211,True,True,False,False,False,False,True,True,True,True
WRAS,173.5864,-41.5955,0.035,0.275,0.5,455.000000000009,True,True,True,False,True,True,True,True,True,True
WSRZ,177.1778,-37.5181,0.035,0.075,0.5,690.974348966211,False,False,False,False,False,False,True,True,True,True
